  1 1 42
  1 2 33
  1 3 31
  2 1 42
  2 3 26
  3 3 21
  4 1 24
  4 2 27
  4 3 22
  1 1 44
  1 3 25
  2 2 34
  2 3 28
  3 2 11
  3 3  9
  4 2 16
  4 3 25
  1 1 36
  1 2 33
  2 1 28
  2 2 36
  2 3 32
  3 1 29
  3 2  9
  4 1 22
  4 2 15
  4 3 12
  1 1 13
  1 3 -3
  2 1 13
  2 3  3
  3 1  1
  3 2 -6
  3 3  1
  4 1 -2
  4 2 -5
  1 1 19
  1 2 21
  1 3 24
  2 1 23
  2 2 31
  2 3  3
  3 2  1
  3 3  3
  4 1  9
  4 2 12
  4 3  5
  1 1 22
  1 2 26
  1 3 25
  2 1 24
  2 2 33
  2 3 16
  3 1 19
  3 2  7
  4 1 15
  4 2 12
  4 3  7

